"waitingdays","type","entry","city","checkyear","checkmonth"
153,"B1","New","ShangHai",2008,11
108,"H4","New","BeiJing",2008,11
106,"H4","New","Others",2008,12
106,"J1","Renewal","BeiJing",2008,12
107,"H1","Renewal","BeiJing",2008,12
105,"H1","Renewal","BeiJing",2008,12
106,"H1","Renewal","ShangHai",2008,12
107,"H1","Renewal","BeiJing",2008,12
105,"F1","Renewal","ShangHai",2008,12
105,"J1","New","ShangHai",2008,12
105,"B2","New","Others",2008,12
105,"J1","New","ShangHai",2008,12
105,"B1","New","BeiJing",2008,12
103,"J1","New","ShangHai",2008,12
104,"F1","Renewal","GuangZhou",2008,12
100,"H1","Renewal","GuangZhou",2008,12
102,"H1","Renewal","ShangHai",2008,12
102,"H1","New","GuangZhou",2008,12
101,"H1","Renewal","BeiJing",2008,12
100,"H1","Renewal","GuangZhou",2008,12
122,"H1","Renewal","ChengDu",2008,12
99,"H1","Renewal","ShangHai",2008,12
102,"H1","New","ShangHai",2008,12
100,"H1","New","GuangZhou",2008,12
99,"H1","Renewal","ShangHai",2008,12
99,"H1","New","BeiJing",2008,12
101,"H1","Renewal","BeiJing",2008,12
142,"H1","New","BeiJing",2008,12
101,"J1","New","ShangHai",2008,12
98,"J1","Renewal","BeiJing",2008,12
99,"J1","Renewal","ShangHai",2008,12
101,"H1","Renewal","ShangHai",2008,12
99,"F1","New","ShenYang",2008,12
101,"J1","New","BeiJing",2008,12
98,"H1","Renewal","BeiJing",2008,12
105,"H1","New","ShangHai",2008,12
98,"J1","Renewal","BeiJing",2008,12
101,"H1","Renewal","GuangZhou",2008,12
98,"J1","Renewal","BeiJing",2008,12
100,"H1","Renewal","ChengDu",2008,12
100,"H1","Renewal","ChengDu",2008,12
98,"J1","New","Vancouver",2008,12
103,"H1","Renewal","ShangHai",2008,12
100,"H1","New","ShangHai",2008,12
98,"F1","Renewal","BeiJing",2008,12
99,"H1","New","ShangHai",2008,12
98,"F1","Renewal","BeiJing",2008,12
90,"H1","Renewal","ShangHai",2008,12
101,"H1","Renewal","ChengDu",2008,12
104,"H1","Renewal","ShangHai",2008,12
103,"H1","Renewal","ChengDu",2008,12
100,"J1","Renewal","ShangHai",2008,12
74,"H1","New","Tijuana",2008,12
99,"J1","New","BeiJing",2008,12
99,"J1","Renewal","BeiJing",2008,12
102,"H1","Renewal","ShangHai",2008,12
98,"F1","Renewal","ShangHai",2008,12
